Timestamp;Block;Trial;HringState;RefenceStiffnes;VariableStiffnes;VariablePiston;UserSelection;TrueStiff
704,6438;0;0;ON;0,65;0,25;0;False;False
722,5873;0;1;ON;0,65;0,5;1;True;True
736,743;0;2;ON;0,65;1,05;1;False;False
749,0809;0;3;ON;0,65;0,8;0;True;True
763,784;0;4;ON;0,65;0,65;0;False;False
774,2899;0;5;ON;0,65;0,04999995;1;True;True
788,1674;0;6;ON;0,65;1,25;1;False;False
821,6445;1;0;ON;0,65;0,04999995;0;False;False
834,3411;1;1;ON;0,65;1,25;0;False;True
847,2196;1;2;ON;0,65;0,5;1;True;True
858,8284;1;3;ON;0,65;0,25;1;True;True
873,1864;1;4;ON;0,65;0,8;0;False;True
884,2031;1;5;ON;0,65;1,05;0;True;True
897,7744;1;6;ON;0,65;0,65;1;True;False
911,7934;2;0;ON;0,65;0,8;1;False;False
924,6384;2;1;ON;0,65;0,04999995;0;False;False
939,1455;2;2;ON;0,65;0,5;1;False;True
955,6473;2;3;ON;0,65;0,65;0;False;False
970,6564;2;4;ON;0,65;1,05;1;False;False
981,5612;2;5;ON;0,65;0,25;0;False;False
995,1962;2;6;ON;0,65;1,25;1;False;False
1024,986;3;0;ON;0,65;0,04999995;0;False;False
1036,93;3;1;ON;0,65;0,65;0;True;False
1050,964;3;2;ON;0,65;0,25;1;True;True
1065,146;3;3;ON;0,65;0,5;1;True;True
1078,836;3;4;ON;0,65;0,8;0;False;True
1097,372;3;5;ON;0,65;1,25;1;False;False
1110,748;3;6;ON;0,65;1,05;0;True;True
1128,835;4;0;ON;0,65;0,04999995;0;False;False
1142,731;4;1;ON;0,65;0,5;1;True;True
1155,901;4;2;ON;0,65;0,8;1;False;False
1169,901;4;3;ON;0,65;1,05;0;True;True
1183,603;4;4;ON;0,65;0,25;1;True;True
1200,281;4;5;ON;0,65;0,65;0;False;False
1216,352;4;6;ON;0,65;1,25;0;True;True
1232,83;5;0;RELEASING;0,65;0,65;1;True;False
1245,932;5;1;RELEASING;0,65;0,25;0;False;False
1261,824;5;2;RELEASING;0,65;1,25;1;False;False
1274,365;5;3;RELEASING;0,65;0,8;0;True;True
1287,539;5;4;RELEASING;0,65;1,05;1;False;False
1298,359;5;5;RELEASING;0,65;0,5;0;False;False
1307,956;5;6;RELEASING;0,65;0,04999995;1;True;True
1320,103;6;0;RELEASING;0,65;0,5;0;False;False
1333,302;6;1;RELEASING;0,65;0,8;1;False;False
1344,845;6;2;RELEASING;0,65;1,25;1;False;False
1355,048;6;3;RELEASING;0,65;0,25;0;False;False
1364,901;6;4;RELEASING;0,65;1,05;0;True;True
1374,569;6;5;RELEASING;0,65;0,04999995;1;True;True
1386,328;6;6;RELEASING;0,65;0,65;0;False;False
1398,808;7;0;RELEASING;0,65;1,05;1;False;False
1411,662;7;1;RELEASING;0,65;1,25;0;True;True
1421,557;7;2;RELEASING;0,65;0,04999995;1;True;True
1431,642;7;3;RELEASING;0,65;0,65;0;False;False
1442,665;7;4;RELEASING;0,65;0,5;1;True;True
1452,26;7;5;RELEASING;0,65;0,8;0;False;True
1462,199;7;6;RELEASING;0,65;0,25;1;True;True
1477,238;8;0;RELEASING;0,65;0,5;0;False;False
1488,804;8;1;RELEASING;0,65;0,65;1;False;False
1498,342;8;2;RELEASING;0,65;0,25;1;True;True
1509,672;8;3;RELEASING;0,65;1,25;0;True;True
1520,601;8;4;RELEASING;0,65;0,8;0;True;True
1531,152;8;5;RELEASING;0,65;0,04999995;1;True;True
1542,16;8;6;RELEASING;0,65;1,05;1;False;False
1552,269;9;0;RELEASING;0,65;0,65;0;False;False
1560,451;9;1;RELEASING;0,65;0,25;1;True;True
1570,77;9;2;RELEASING;0,65;0,04999995;0;False;False
1579,867;9;3;RELEASING;0,65;0,8;1;False;False
1590,65;9;4;RELEASING;0,65;1,25;0;True;True
1601,731;9;5;RELEASING;0,65;0,5;1;True;True
1612,502;9;6;RELEASING;0,65;1,05;0;True;True
