Timestamp;Block;Trial;HringState;RefenceStiffnes;VariableStiffnes;VariablePiston;UserSelection;TrueStiff
358,6027;0;0;ON;0,65;0,8;0;False;True
386,8928;0;1;ON;0,65;0,5;1;True;True
401,1475;0;2;ON;0,65;0,25;0;False;False
413,3919;0;3;ON;0,65;0,04999995;1;True;True
429,3229;0;4;ON;0,65;1,25;1;False;False
440,2027;0;5;ON;0,65;0,65;0;True;False
454,2505;0;6;ON;0,65;1,05;1;False;False
469,0016;1;0;ON;0,65;0,65;0;True;False
480,1759;1;1;ON;0,65;0,25;1;True;True
492,4785;1;2;ON;0,65;0,5;0;False;False
506,915;1;3;ON;0,65;1,05;1;False;False
517,4634;1;4;ON;0,65;1,25;0;True;True
537,3315;1;5;ON;0,65;0,8;1;False;False
551,4052;1;6;ON;0,65;0,04999995;0;False;False
566,957;2;0;ON;0,65;0,5;1;True;True
579,1198;2;1;ON;0,65;0,65;0;True;False
589,9302;2;2;ON;0,65;1,25;0;True;True
598,212;2;3;ON;0,65;0,25;1;True;True
606,9282;2;4;ON;0,65;0,04999995;1;True;True
617,3058;2;5;ON;0,65;0,8;0;True;True
627,9534;2;6;ON;0,65;1,05;1;False;False
640,5643;3;0;ON;0,65;0,04999995;0;False;False
651,6263;3;1;ON;0,65;0,5;0;False;False
665,0117;3;2;ON;0,65;1,05;1;False;False
675,0969;3;3;ON;0,65;0,65;1;False;False
684,9322;3;4;ON;0,65;1,25;0;True;True
696,8969;3;5;ON;0,65;0,25;1;True;True
706,3702;3;6;ON;0,65;0,8;0;True;True
717,4117;4;0;ON;0,65;0,65;0;False;False
727,9915;4;1;ON;0,65;1,05;1;False;False
737,4893;4;2;ON;0,65;1,25;1;False;False
745,871;4;3;ON;0,65;0,25;0;False;False
755,1748;4;4;ON;0,65;0,04999995;0;False;False
763,3257;4;5;ON;0,65;0,8;1;False;False
771,1426;4;6;ON;0,65;0,5;1;True;True
786,9535;5;0;RELEASING;0,65;0,04999995;0;False;False
800,9488;5;1;RELEASING;0,65;1,25;1;False;False
813,2036;5;2;RELEASING;0,65;0,25;0;False;False
824,6013;5;3;RELEASING;0,65;0,65;1;True;False
838,015;5;4;RELEASING;0,65;0,5;0;False;False
848,959;5;5;RELEASING;0,65;0,8;0;True;True
862,0303;5;6;RELEASING;0,65;1,05;1;False;False
874,0457;6;0;RELEASING;0,65;1,25;1;False;False
882,4251;6;1;RELEASING;0,65;0,25;0;False;False
891,9095;6;2;RELEASING;0,65;0,8;0;True;True
902,5717;6;3;RELEASING;0,65;0,5;1;True;True
910,8466;6;4;RELEASING;0,65;0,04999995;0;False;False
920,2755;6;5;RELEASING;0,65;1,05;1;False;False
932,644;6;6;RELEASING;0,65;0,65;0;True;False
942,2871;7;0;RELEASING;0,65;0,25;1;True;True
954,9125;7;1;RELEASING;0,65;1,05;1;False;False
969,6112;7;2;RELEASING;0,65;1,25;0;True;True
981,1459;7;3;RELEASING;0,65;0,8;0;True;True
988,9035;7;4;RELEASING;0,65;0,65;1;True;False
996,7054;7;5;RELEASING;0,65;0,04999995;0;False;False
1005,472;7;6;RELEASING;0,65;0,5;1;True;True
1015,501;8;0;RELEASING;0,65;0,25;0;False;False
1023,447;8;1;RELEASING;0,65;0,04999995;1;True;True
1032,075;8;2;RELEASING;0,65;1,25;0;True;True
1040,213;8;3;RELEASING;0,65;0,5;1;False;True
1048,86;8;4;RELEASING;0,65;0,65;1;False;False
1057,727;8;5;RELEASING;0,65;0,8;0;True;True
1065,343;8;6;RELEASING;0,65;1,05;0;True;True
1075,635;9;0;RELEASING;0,65;0,5;1;True;True
1084,836;9;1;RELEASING;0,65;0,8;1;False;False
1092,025;9;2;RELEASING;0,65;0,25;0;False;False
1100,84;9;3;RELEASING;0,65;1,25;1;False;False
1109,378;9;4;RELEASING;0,65;1,05;0;True;True
1116,648;9;5;RELEASING;0,65;0,04999995;0;False;False
1124,669;9;6;RELEASING;0,65;0,65;1;True;False
