Timestamp;Block;Trial;HringState;RefenceStiffnes;VariableStiffnes;VariablePiston;UserSelection;TrueStiff
420,7994;0;0;RELEASING;0,65;1,05;0;True;True
442,2896;0;1;RELEASING;0,65;0,25;1;False;True
461,4997;0;2;RELEASING;0,65;0,5;1;True;True
479,1791;0;3;RELEASING;0,65;0,04999995;0;False;False
502,5444;0;4;RELEASING;0,65;1,25;1;False;False
517,6493;0;5;RELEASING;0,65;0,65;0;False;False
531,953;0;6;RELEASING;0,65;0,8;1;False;False
557,3642;1;0;RELEASING;0,65;0,04999995;0;False;False
572,0389;1;1;RELEASING;0,65;1,05;0;True;True
586,0571;1;2;RELEASING;0,65;0,65;1;True;False
598,1175;1;3;RELEASING;0,65;0,25;1;True;True
613,1085;1;4;RELEASING;0,65;1,25;0;True;True
625,5177;1;5;RELEASING;0,65;0,8;1;False;False
639,5933;1;6;RELEASING;0,65;0,5;0;False;False
667,8107;2;0;RELEASING;0,65;0,04999995;0;False;False
680,5471;2;1;RELEASING;0,65;1,25;1;False;False
690,6744;2;2;RELEASING;0,65;0,8;0;True;True
701,2897;2;3;RELEASING;0,65;1,05;1;False;False
715,7395;2;4;RELEASING;0,65;0,65;0;True;False
726,4569;2;5;RELEASING;0,65;0,5;1;True;True
739,6758;2;6;RELEASING;0,65;0,25;0;False;False
752,7533;3;0;RELEASING;0,65;1,05;1;False;False
765,1209;3;1;RELEASING;0,65;0,65;1;False;False
774,5581;3;2;RELEASING;0,65;0,5;0;False;False
784,6766;3;3;RELEASING;0,65;0,04999995;1;True;True
794,6906;3;4;RELEASING;0,65;0,8;0;False;True
807,4478;3;5;RELEASING;0,65;0,25;0;False;False
819,6712;3;6;RELEASING;0,65;1,25;1;False;False
831,0678;4;0;RELEASING;0,65;0,04999995;0;False;False
840,8193;4;1;RELEASING;0,65;1,05;1;False;False
851,2448;4;2;RELEASING;0,65;0,65;1;False;False
859,1917;4;3;RELEASING;0,65;0,5;0;False;False
874,2449;4;4;RELEASING;0,65;0,8;1;False;False
884,2935;4;5;RELEASING;0,65;1,25;0;True;True
892,6543;4;6;RELEASING;0,65;0,25;0;False;False
924,5405;5;0;ON;0,65;0,04999995;1;True;True
934,8512;5;1;ON;0,65;1,25;1;False;False
949,4126;5;2;ON;0,65;0,8;0;True;True
958,017;5;3;ON;0,65;0,25;0;False;False
967,3;5;4;ON;0,65;1,05;1;False;False
982,7615;5;5;ON;0,65;0,65;0;False;False
990,7727;5;6;ON;0,65;0,5;1;True;True
1000,67;6;0;ON;0,65;1,25;0;True;True
1009,037;6;1;ON;0,65;0,5;1;True;True
1016,612;6;2;ON;0,65;0,25;0;False;False
1027,41;6;3;ON;0,65;1,05;1;False;False
1038,509;6;4;ON;0,65;0,8;1;False;False
1047,276;6;5;ON;0,65;0,04999995;0;False;False
1057,651;6;6;ON;0,65;0,65;1;False;False
1074,708;7;0;ON;0,65;0,5;0;False;False
1085,677;7;1;ON;0,65;0,8;0;False;True
1093,938;7;2;ON;0,65;1,05;1;False;False
1109,043;7;3;ON;0,65;0,25;0;False;False
1119,026;7;4;ON;0,65;0,65;1;False;False
1127,994;7;5;ON;0,65;1,25;1;False;False
1137,729;7;6;ON;0,65;0,04999995;0;False;False
1147,582;8;0;ON;0,65;0,8;1;True;False
1155,226;8;1;ON;0,65;0,65;0;True;False
1162,729;8;2;ON;0,65;0,5;1;True;True
1173,613;8;3;ON;0,65;0,04999995;0;False;False
1182,538;8;4;ON;0,65;1,25;1;False;False
1190,694;8;5;ON;0,65;1,05;0;True;True
1197,838;8;6;ON;0,65;0,25;1;True;True
1223,526;9;0;ON;0,65;1,05;0;True;True
1231,886;9;1;ON;0,65;0,04999995;1;True;True
1239,363;9;2;ON;0,65;0,8;0;True;True
1247,518;9;3;ON;0,65;0,65;0;True;False
1254,984;9;4;ON;0,65;0,5;1;True;True
1262,935;9;5;ON;0,65;0,25;0;False;False
1272,247;9;6;ON;0,65;1,25;1;False;False
