Timestamp;Block;Trial;HringState;RefenceStiffnes;VariableStiffnes;VariablePiston;UserSelection;TrueStiff
220,8614;0;0;ON;0,65;0,65;0;True;False
234,8436;0;1;ON;0,65;0,25;1;True;True
246,616;0;2;ON;0,65;0,5;1;False;True
258,0275;0;3;ON;0,65;1,05;0;True;True
269,8158;0;4;ON;0,65;1,25;0;True;True
280,7391;0;5;ON;0,65;0,04999995;1;True;True
292,1393;0;6;ON;0,65;0,8;0;True;True
323,0069;1;0;ON;0,65;0,8;1;False;False
332,5655;1;1;ON;0,65;0,25;1;True;True
343,4724;1;2;ON;0,65;1,05;0;True;True
352,3782;1;3;ON;0,65;1,25;0;True;True
361,1483;1;4;ON;0,65;0,5;1;True;True
369,9678;1;5;ON;0,65;0,65;0;False;False
379,9615;1;6;ON;0,65;0,04999995;1;True;True
392,2068;2;0;ON;0,65;1,25;1;False;False
401,6407;2;1;ON;0,65;0,5;0;False;False
409,7295;2;2;ON;0,65;0,65;1;False;False
419,7787;2;3;ON;0,65;0,25;0;False;False
432,4527;2;4;ON;0,65;1,05;1;False;False
442,9227;2;5;ON;0,65;0,8;0;False;True
453,2986;2;6;ON;0,65;0,04999995;0;False;False
465,4868;3;0;ON;0,65;0,8;1;False;False
473,5359;3;1;ON;0,65;0,5;1;True;True
481,0732;3;2;ON;0,65;0,65;0;True;False
491,3311;3;3;ON;0,65;0,04999995;1;True;True
500,269;3;4;ON;0,65;0,25;0;False;False
510,0019;3;5;ON;0,65;1,25;0;True;True
518,0877;3;6;ON;0,65;1,05;1;False;False
531,8064;4;0;ON;0,65;1,05;0;True;True
539,4654;4;1;ON;0,65;0,5;1;False;True
548,4186;4;2;ON;0,65;0,04999995;1;True;True
555,7527;4;3;ON;0,65;0,65;0;False;False
564,0667;4;4;ON;0,65;1,25;0;True;True
573,1569;4;5;ON;0,65;0,25;1;True;True
582,8409;4;6;ON;0,65;0,8;1;False;False
599,2949;5;0;RELEASING;0,65;0,04999995;0;False;False
610,9608;5;1;RELEASING;0,65;0,5;1;False;True
619,7999;5;2;RELEASING;0,65;0,8;0;False;True
631,1981;5;3;RELEASING;0,65;1,05;1;True;False
640,9474;5;4;RELEASING;0,65;0,65;0;False;False
649,739;5;5;RELEASING;0,65;0,25;1;True;True
659,9713;5;6;RELEASING;0,65;1,25;0;True;True
670,5359;6;0;RELEASING;0,65;0,04999995;0;False;False
679,2482;6;1;RELEASING;0,65;1,05;1;False;False
689,8506;6;2;RELEASING;0,65;0,25;1;True;True
698,3298;6;3;RELEASING;0,65;0,8;0;False;True
710,9195;6;4;RELEASING;0,65;0,65;0;False;False
719,4047;6;5;RELEASING;0,65;1,25;1;False;False
727,5214;6;6;RELEASING;0,65;0,5;1;False;True
740,8773;7;0;RELEASING;0,65;1,05;0;True;True
748,1889;7;1;RELEASING;0,65;0,25;0;True;False
756,8499;7;2;RELEASING;0,65;0,04999995;1;True;True
764,3054;7;3;RELEASING;0,65;0,8;1;False;False
772,0389;7;4;RELEASING;0,65;1,25;0;True;True
780,0057;7;5;RELEASING;0,65;0,65;0;False;False
787,5513;7;6;RELEASING;0,65;0,5;1;True;True
797,5693;8;0;RELEASING;0,65;0,65;1;True;False
805,2906;8;1;RELEASING;0,65;0,5;0;False;False
813,2894;8;2;RELEASING;0,65;0,04999995;1;True;True
821,5516;8;3;RELEASING;0,65;1,25;0;True;True
829,8378;8;4;RELEASING;0,65;0,8;0;True;True
837,9138;8;5;RELEASING;0,65;1,05;1;False;False
846,5438;8;6;RELEASING;0,65;0,25;0;False;False
858,4332;9;0;RELEASING;0,65;0,04999995;1;True;True
869,1912;9;1;RELEASING;0,65;0,5;0;False;False
877,353;9;2;RELEASING;0,65;0,8;1;False;False
886,285;9;3;RELEASING;0,65;0,25;1;True;True
895,0157;9;4;RELEASING;0,65;0,65;0;True;False
903,5306;9;5;RELEASING;0,65;1,25;0;True;True
913,1385;9;6;RELEASING;0,65;1,05;1;False;False
