Timestamp;Block;Trial;HringState;RefenceStiffnes;VariableStiffnes;VariablePiston;UserSelection;TrueStiff
170,1795;0;0;RELEASING;0,65;0,5;1;False;True
192,0012;0;1;RELEASING;0,65;0,04999995;0;True;False
208,5904;0;2;RELEASING;0,65;0,65;0;False;False
223,2033;0;3;RELEASING;0,65;1,25;1;True;False
235,1791;0;4;RELEASING;0,65;0,8;0;False;True
249,513;0;5;RELEASING;0,65;0,25;1;False;True
263,887;0;6;RELEASING;0,65;1,05;0;False;True
278,9901;1;0;RELEASING;0,65;0,04999995;1;False;True
292,6811;1;1;RELEASING;0,65;0,5;1;True;True
305,514;1;2;RELEASING;0,65;0,65;0;True;False
318,3763;1;3;RELEASING;0,65;1,25;1;True;False
332,8108;1;4;RELEASING;0,65;1,05;0;True;True
345,2;1;5;RELEASING;0,65;0,25;0;True;False
358,9319;1;6;RELEASING;0,65;0,8;1;True;False
374,4435;2;0;RELEASING;0,65;1,05;1;True;False
385,7328;2;1;RELEASING;0,65;0,8;0;False;True
395,3597;2;2;RELEASING;0,65;0,5;1;True;True
406,3996;2;3;RELEASING;0,65;0,65;0;True;False
415,6631;2;4;RELEASING;0,65;0,04999995;1;False;True
426,5078;2;5;RELEASING;0,65;0,25;0;False;False
436,2903;2;6;RELEASING;0,65;1,25;1;True;False
451,4093;3;0;RELEASING;0,65;0,8;0;False;True
460,4898;3;1;RELEASING;0,65;1,05;0;False;True
471,3797;3;2;RELEASING;0,65;0,04999995;1;False;True
482,7685;3;3;RELEASING;0,65;0,65;0;True;False
492,1214;3;4;RELEASING;0,65;0,25;1;False;True
503,3907;3;5;RELEASING;0,65;0,5;1;True;True
513,9112;3;6;RELEASING;0,65;1,25;0;False;True
525,9019;4;0;RELEASING;0,65;0,8;1;True;False
535,0873;4;1;RELEASING;0,65;1,25;0;False;True
542,8525;4;2;RELEASING;0,65;0,5;0;True;False
551,4658;4;3;RELEASING;0,65;1,05;1;True;False
563,1371;4;4;RELEASING;0,65;0,65;0;False;False
574,4232;4;5;RELEASING;0,65;0,04999995;1;False;True
583,3355;4;6;RELEASING;0,65;0,25;0;True;False
596,2095;5;0;ON;0,65;0,04999995;1;False;True
605,1595;5;1;ON;0,65;1,05;0;True;True
616,0006;5;2;ON;0,65;1,25;1;True;False
624,2061;5;3;ON;0,65;0,25;0;True;False
635,3121;5;4;ON;0,65;0,5;1;False;True
648,7841;5;5;ON;0,65;0,65;1;True;False
659,5374;5;6;ON;0,65;0,8;0;False;True
669,5781;6;0;ON;0,65;0,25;1;False;True
681,1459;6;1;ON;0,65;1,25;0;False;True
690,8174;6;2;ON;0,65;0,5;1;True;True
700,3069;6;3;ON;0,65;0,65;0;False;False
714,1494;6;4;ON;0,65;1,05;1;True;False
723,5261;6;5;ON;0,65;0,04999995;0;True;False
733,2411;6;6;ON;0,65;0,8;0;True;True
745,1582;7;0;ON;0,65;0,25;1;True;True
752,7964;7;1;ON;0,65;1,25;1;True;False
761,3427;7;2;ON;0,65;0,04999995;0;True;False
770,8104;7;3;ON;0,65;0,65;1;True;False
779,2565;7;4;ON;0,65;0,8;0;False;True
788,4866;7;5;ON;0,65;1,05;1;True;False
799,1665;7;6;ON;0,65;0,5;0;True;False
812,0308;8;0;ON;0,65;1,25;0;False;True
820,3966;8;1;ON;0,65;0,25;1;False;True
828,619;8;2;ON;0,65;0,5;0;True;False
837,6029;8;3;ON;0,65;0,8;1;True;False
848,8171;8;4;ON;0,65;0,65;1;True;False
859,0906;8;5;ON;0,65;1,05;0;False;True
867,6573;8;6;ON;0,65;0,04999995;0;True;False
880,8724;9;0;ON;0,65;1,05;1;True;False
891,7015;9;1;ON;0,65;0,8;0;True;True
902,0048;9;2;ON;0,65;0,65;1;False;False
911,4677;9;3;ON;0,65;0,04999995;0;True;False
919,8152;9;4;ON;0,65;0,25;1;False;True
929,9551;9;5;ON;0,65;1,25;0;False;True
938,8066;9;6;ON;0,65;0,5;1;False;True
