Timestamp;Block;Trial;HringState;RefenceStiffnes;VariableStiffnes;VariablePiston;UserSelection;TrueStiff
132,7657;0;0;RELEASING;0,65;1,05;1;True;False
157,1662;0;1;RELEASING;0,65;0,65;0;False;False
172,7473;0;2;RELEASING;0,65;0,04999995;1;True;True
190,8528;0;3;RELEASING;0,65;0,8;0;False;True
205,7689;0;4;RELEASING;0,65;0,25;1;True;True
222,3623;0;5;RELEASING;0,65;1,25;0;True;True
234,8072;0;6;RELEASING;0,65;0,5;0;False;False
253,1489;1;0;RELEASING;0,65;0,8;1;False;False
267,8759;1;1;RELEASING;0,65;1,05;1;False;False
280,2643;1;2;RELEASING;0,65;0,25;0;False;False
294,2135;1;3;RELEASING;0,65;0,04999995;0;False;False
307,0012;1;4;RELEASING;0,65;1,25;1;False;False
320,4717;1;5;RELEASING;0,65;0,65;1;True;False
335,1323;1;6;RELEASING;0,65;0,5;0;False;False
350,7932;2;0;RELEASING;0,65;0,8;1;False;False
363,9594;2;1;RELEASING;0,65;0,65;0;True;False
374,7271;2;2;RELEASING;0,65;0,25;0;False;False
388,8881;2;3;RELEASING;0,65;1,25;1;False;False
400,0406;2;4;RELEASING;0,65;1,05;1;False;False
411,1893;2;5;RELEASING;0,65;0,04999995;0;False;False
426,2178;2;6;RELEASING;0,65;0,5;0;True;False
443,4222;3;0;RELEASING;0,65;0,8;1;False;False
458,0792;3;1;RELEASING;0,65;1,05;0;True;True
469,3211;3;2;RELEASING;0,65;0,25;1;True;True
480,706;3;3;RELEASING;0,65;0,04999995;1;True;True
493,9548;3;4;RELEASING;0,65;1,25;0;True;True
505,417;3;5;RELEASING;0,65;0,65;1;False;False
520,635;3;6;RELEASING;0,65;0,5;0;False;False
538,486;4;0;RELEASING;0,65;0,5;0;False;False
552,4844;4;1;RELEASING;0,65;1,05;1;False;False
564,1874;4;2;RELEASING;0,65;0,25;0;False;False
578,5714;4;3;RELEASING;0,65;0,8;1;True;False
590,0292;4;4;RELEASING;0,65;0,04999995;1;True;True
600,5752;4;5;RELEASING;0,65;0,65;0;False;False
613,1432;4;6;RELEASING;0,65;1,25;1;False;False
629,3932;5;0;ON;0,65;0,8;0;False;True
641,8677;5;1;ON;0,65;0,25;1;True;True
652,5653;5;2;ON;0,65;0,04999995;0;False;False
665,671;5;3;ON;0,65;1,05;1;False;False
679,956;5;4;ON;0,65;0,5;0;False;False
690,3628;5;5;ON;0,65;0,65;1;False;False
700,4505;5;6;ON;0,65;1,25;0;True;True
712,9232;6;0;ON;0,65;0,25;1;True;True
725,8985;6;1;ON;0,65;1,25;0;True;True
736,0386;6;2;ON;0,65;0,04999995;0;False;False
749,3117;6;3;ON;0,65;0,65;1;False;False
761,2292;6;4;ON;0,65;1,05;0;True;True
773,2993;6;5;ON;0,65;0,5;1;True;True
785,2727;6;6;ON;0,65;0,8;1;False;False
798,7814;7;0;ON;0,65;0,25;0;False;False
808,9367;7;1;ON;0,65;1,05;1;False;False
818,304;7;2;ON;0,65;1,25;0;True;True
827,8356;7;3;ON;0,65;0,04999995;0;False;False
837,4858;7;4;ON;0,65;0,65;1;True;False
847,2974;7;5;ON;0,65;0,8;1;False;False
863,9739;7;6;ON;0,65;0,5;0;True;False
877,05;8;0;ON;0,65;0,8;1;False;False
886,6733;8;1;ON;0,65;1,05;0;True;True
899,2611;8;2;ON;0,65;0,65;1;True;False
914,7089;8;3;ON;0,65;0,04999995;0;False;False
926,5475;8;4;ON;0,65;0,25;1;True;True
936,9026;8;5;ON;0,65;0,5;0;False;False
947,5617;8;6;ON;0,65;1,25;0;True;True
960,8594;9;0;ON;0,65;1,25;1;False;False
970,1643;9;1;ON;0,65;0,8;1;False;False
978,8359;9;2;ON;0,65;0,5;0;False;False
988,0099;9;3;ON;0,65;0,65;0;False;False
996,4528;9;4;ON;0,65;0,25;1;True;True
1006,628;9;5;ON;0,65;0,04999995;1;True;True
1016,361;9;6;ON;0,65;1,05;0;True;True
