Timestamp;Block;Trial;HringState;RefenceStiffnes;VariableStiffnes;VariablePiston;UserSelection;TrueStiff
33,04263;0;0;RELEASING;0,65;0,04999995;0;False;False
45,64081;0;1;RELEASING;0,65;1,05;1;False;False
55,40736;0;2;RELEASING;0,65;0,5;1;True;True
68,06714;0;3;RELEASING;0,65;0,65;0;False;False
79,39761;0;4;RELEASING;0,65;0,8;0;True;True
93,78846;0;5;RELEASING;0,65;1,25;1;False;False
105,3316;0;6;RELEASING;0,65;0,25;0;False;False
125,0924;1;0;RELEASING;0,65;0,5;1;True;True
133,7437;1;1;RELEASING;0,65;1,05;1;False;False
146,4375;1;2;RELEASING;0,65;0,8;0;True;True
158,0832;1;3;RELEASING;0,65;0,04999995;1;True;True
168,7602;1;4;RELEASING;0,65;0,25;0;False;False
180,4512;1;5;RELEASING;0,65;0,65;1;False;False
191,4165;1;6;RELEASING;0,65;1,25;0;True;True
203,123;2;0;RELEASING;0,65;0,5;0;False;False
214,5267;2;1;RELEASING;0,65;0,04999995;1;True;True
225,1919;2;2;RELEASING;0,65;1,25;1;False;False
236,4379;2;3;RELEASING;0,65;0,8;0;False;True
245,871;2;4;RELEASING;0,65;1,05;0;True;True
256,2584;2;5;RELEASING;0,65;0,25;1;True;True
267,645;2;6;RELEASING;0,65;0,65;1;False;False
280,658;3;0;RELEASING;0,65;0,65;0;True;False
291,3118;3;1;RELEASING;0,65;0,25;1;True;True
303,0844;3;2;RELEASING;0,65;0,04999995;0;False;False
312,9278;3;3;RELEASING;0,65;0,5;0;False;False
323,0143;3;4;RELEASING;0,65;1,05;1;False;False
332,1439;3;5;RELEASING;0,65;0,8;0;True;True
342,0042;3;6;RELEASING;0,65;1,25;1;False;False
353,6335;4;0;RELEASING;0,65;1,05;1;False;False
370,2074;4;1;RELEASING;0,65;0,04999995;0;False;False
381,1419;4;2;RELEASING;0,65;0,5;0;True;False
390,6393;4;3;RELEASING;0,65;0,8;1;False;False
400,9538;4;4;RELEASING;0,65;0,65;0;True;False
412,2564;4;5;RELEASING;0,65;1,25;1;False;False
420,0824;4;6;RELEASING;0,65;0,25;1;True;True
431,6979;5;0;ON;0,65;0,65;0;False;False
443,1653;5;1;ON;0,65;0,5;1;True;True
452,2951;5;2;ON;0,65;0,8;0;True;True
462,2761;5;3;ON;0,65;1,25;0;True;True
470,6377;5;4;ON;0,65;0,25;1;True;True
479,0271;5;5;ON;0,65;0,04999995;1;True;True
487,2286;5;6;ON;0,65;1,05;0;True;True
496,2044;6;0;ON;0,65;0,04999995;0;False;False
507,2728;6;1;ON;0,65;0,65;1;True;False
515,304;6;2;ON;0,65;0,25;0;False;False
523,0626;6;3;ON;0,65;0,5;1;False;True
530,9146;6;4;ON;0,65;1,25;1;False;False
539,2475;6;5;ON;0,65;1,05;0;True;True
547,6074;6;6;ON;0,65;0,8;0;True;True
556,3889;7;0;ON;0,65;0,5;1;True;True
563,4415;7;1;ON;0,65;0,25;1;True;True
571,1118;7;2;ON;0,65;0,65;0;False;False
579,4285;7;3;ON;0,65;0,8;1;False;False
586,7758;7;4;ON;0,65;1,05;0;True;True
594,6087;7;5;ON;0,65;1,25;0;True;True
602,184;7;6;ON;0,65;0,04999995;1;True;True
611,6999;8;0;ON;0,65;1,05;0;True;True
619,7351;8;1;ON;0,65;1,25;1;False;False
628,3921;8;2;ON;0,65;0,8;1;False;False
637,2939;8;3;ON;0,65;0,25;0;False;False
645,4807;8;4;ON;0,65;0,65;0;True;False
652,6223;8;5;ON;0,65;0,5;1;True;True
661,0547;8;6;ON;0,65;0,04999995;1;True;True
673,9122;9;0;ON;0,65;0,8;0;False;True
682,0716;9;1;ON;0,65;1,05;1;False;False
689,624;9;2;ON;0,65;0,65;0;True;False
696,6981;9;3;ON;0,65;0,5;1;True;True
704,356;9;4;ON;0,65;0,04999995;0;False;False
711,8961;9;5;ON;0,65;0,25;0;False;False
719,6579;9;6;ON;0,65;1,25;1;False;False
