Timestamp;Block;Trial;Condition;rendered;Answer
574,3683;0;0;1;-1;Bump
581,8085;0;1;1;1;Hole
589,4518;0;2;1;-1;Bump
597,8172;0;3;1;1;Hole
604,6667;0;4;1;1;Hole
611,4006;0;5;1;-1;Hole
619,3969;0;6;1;1;Hole
627,1301;0;7;1;-1;Bump
633,5143;0;8;1;-1;Bump
640,6057;0;9;1;1;Bump
648,5507;0;10;1;1;Hole
655,9492;0;11;1;-1;Bump
662,5347;0;12;1;1;Bump
670,3308;0;13;1;-1;Hole
678,836;0;14;1;-1;Bump
689,7505;0;15;1;1;Bump
695,5419;0;16;1;-1;Bump
701,086;0;17;1;1;Hole
707,6501;0;18;1;-1;Bump
715,5906;0;19;1;1;Hole
1018,583;1;0;2;1;Bump
1025,55;1;1;2;-1;Bump
1031,268;1;2;2;1;Hole
1036,597;1;3;2;-1;Hole
1041,564;1;4;2;-1;Hole
1047,328;1;5;2;1;Hole
1053,133;1;6;2;-1;Hole
1059,26;1;7;2;1;Hole
1065,533;1;8;2;1;Hole
1071,115;1;9;2;-1;Bump
1077,012;1;10;2;1;Hole
1082,968;1;11;2;-1;Bump
1088,987;1;12;2;1;Hole
1094,658;1;13;2;-1;Bump
1100,656;1;14;2;1;Hole
1105,897;1;15;2;-1;Bump
1111,242;1;16;2;1;Hole
1118,38;1;17;2;-1;Bump
1125,013;1;18;2;1;Bump
1130,66;1;19;2;-1;Bump
1385,67;2;0;3;1;Yes
1396,897;2;1;3;-1;No
1406,893;2;2;3;-1;No
1418,579;2;3;3;1;Yes
1428,221;2;4;3;-1;Yes
1438,806;2;5;3;1;No
1454,344;2;6;3;-1;No
1466,6;2;7;3;1;Yes
1479,297;2;8;3;1;Yes
1491,272;2;9;3;-1;No
1500,914;2;10;3;1;Yes
1511,377;2;11;3;-1;No
1520,684;2;12;3;-1;Yes
1531,372;2;13;3;1;Yes
1540,566;2;14;3;1;Yes
1548,776;2;15;3;-1;No
1556,774;2;16;3;-1;No
1567,696;2;17;3;1;Yes
1578,094;2;18;3;1;Yes
1587,445;2;19;3;-1;No
