Timestamp;Block;Trial;Condition;rendered;Answer
723,3043;0;0;1;-1;Bump
734,3796;0;1;1;1;Hole
751,6553;0;2;1;-1;Bump
762,4979;0;3;1;1;Hole
772,6769;0;4;1;-1;Bump
783,3607;0;5;1;1;Bump
794,1486;0;6;1;-1;Bump
803,889;0;7;1;1;Hole
814,9904;0;8;1;1;Hole
824,4168;0;9;1;-1;Bump
833,5433;0;10;1;-1;Bump
842,9648;0;11;1;1;Hole
852,6624;0;12;1;1;Hole
863,1772;0;13;1;-1;Bump
873,3191;0;14;1;-1;Bump
882,6657;0;15;1;1;Hole
892,5479;0;16;1;-1;Bump
902,2988;0;17;1;1;Hole
912,1075;0;18;1;1;Hole
919,9849;0;19;1;-1;Bump
1006,206;1;0;2;-1;Bump
1017,022;1;1;2;1;Bump
1029,794;1;2;2;-1;Bump
1046,065;1;3;2;1;Bump
1058,388;1;4;2;-1;Hole
1068,449;1;5;2;1;Hole
1077,376;1;6;2;-1;Bump
1087,091;1;7;2;1;Hole
1096,076;1;8;2;1;Hole
1104,876;1;9;2;-1;Hole
1114,681;1;10;2;1;Bump
1124,401;1;11;2;-1;Bump
1132,681;1;12;2;-1;Bump
1144,096;1;13;2;1;Hole
1153,608;1;14;2;-1;Hole
1163,461;1;15;2;1;Bump
1175,593;1;16;2;1;Hole
1184,384;1;17;2;-1;Bump
1194,13;1;18;2;1;Hole
1203,554;1;19;2;-1;Bump
1292,725;2;0;3;-1;Yes
1310,402;2;1;3;1;Yes
1326,673;2;2;3;1;Yes
1342,879;2;3;3;-1;No
1360,556;2;4;3;1;No
1377,845;2;5;3;-1;No
1395,675;2;6;3;-1;No
1412,489;2;7;3;1;Yes
1428,175;2;8;3;1;Yes
1444,001;2;9;3;-1;No
1460,91;2;10;3;-1;Yes
1476,931;2;11;3;1;Yes
1495,734;2;12;3;-1;No
1511,086;2;13;3;1;Yes
1526,202;2;14;3;-1;No
1540,793;2;15;3;1;Yes
1557,062;2;16;3;-1;Yes
1571,729;2;17;3;1;Yes
1586,222;2;18;3;1;Yes
1600,557;2;19;3;-1;No
