Timestamp;Block;Trial;Condition;rendered;Answer
174,7967;0;0;1;-1;Hole
187,681;0;1;1;1;Bump
195,1597;0;2;1;1;Hole
202,5501;0;3;1;-1;Bump
208,9829;0;4;1;1;Hole
215,4509;0;5;1;-1;Bump
221,6402;0;6;1;-1;Bump
227,9512;0;7;1;1;Hole
234,2738;0;8;1;1;Hole
240,5569;0;9;1;-1;Bump
247,2921;0;10;1;-1;Bump
252,8857;0;11;1;1;Hole
258,5525;0;12;1;1;Hole
266,7851;0;13;1;-1;Hole
271,8995;0;14;1;-1;Bump
278,6213;0;15;1;1;Hole
284,4386;0;16;1;-1;Bump
290,8118;0;17;1;1;Hole
296,4543;0;18;1;1;Hole
302,0931;0;19;1;-1;Bump
314,3725;1;0;2;1;Hole
321,6337;1;1;2;-1;Hole
457,0247;1;2;2;-1;Bump
464,8056;1;3;2;1;Hole
472,7013;1;4;2;1;Hole
478,4046;1;5;2;-1;Bump
484,353;1;6;2;1;Hole
490,3823;1;7;2;-1;Bump
495,6431;1;8;2;1;Hole
501,4011;1;9;2;-1;Bump
507,3664;1;10;2;1;Hole
513,7546;1;11;2;-1;Bump
519,6201;1;12;2;-1;Bump
526,5569;1;13;2;1;Hole
533,1799;1;14;2;1;Hole
542,2278;1;15;2;-1;Bump
550,6271;1;16;2;1;Hole
556,7682;1;17;2;-1;Bump
562,5844;1;18;2;-1;Bump
568,1728;1;19;2;1;Bump
585,5904;2;0;3;1;Yes
731,9873;2;1;3;-1;No
743,7684;2;2;3;1;Yes
755,2795;2;3;3;-1;No
766,5347;2;4;3;1;Yes
779,6273;2;5;3;-1;No
791,9857;2;6;3;-1;No
801,6736;2;7;3;1;Yes
814,7847;2;8;3;-1;No
826,3683;2;9;3;1;Yes
838,6747;2;10;3;-1;Yes
849,644;2;11;3;1;Yes
861,5108;2;12;3;-1;Yes
873,2635;2;13;3;1;Yes
884,0061;2;14;3;-1;No
894,8157;2;15;3;1;Yes
906,9232;2;16;3;-1;Yes
918,1235;2;17;3;1;Yes
929,2943;2;18;3;-1;Yes
940,8373;2;19;3;1;Yes
