Timestamp;Block;Trial;Condition;SwipeDirection;rendered;Answer
2441,188;0;0;1;-1;-1;Bump
2460,504;0;1;1;-1;1;Hole
2473,141;0;2;1;1;1;Bump
2481,165;0;3;1;1;-1;Bump
2488,53;0;4;1;1;1;Hole
2495,227;0;5;1;1;-1;Bump
2502,897;0;6;1;-1;-1;Bump
2514,787;0;7;1;-1;1;Hole
2522,725;0;8;1;1;1;Hole
2529,446;0;9;1;1;-1;Bump
2538,135;0;10;1;-1;1;Hole
2547,288;0;11;1;-1;-1;Bump
2557,257;0;12;1;1;-1;Bump
2563,752;0;13;1;1;1;Hole
2571,591;0;14;1;-1;-1;Bump
2578,526;0;15;1;-1;1;Hole
2585,635;0;16;1;1;-1;Bump
2592,488;0;17;1;1;1;Hole
2599,685;0;18;1;-1;-1;Bump
2608,775;0;19;1;-1;1;Hole
2716,043;1;0;2;1;1;Hole
2724,062;1;1;2;1;-1;Bump
2738,301;1;2;2;-1;1;Bump
2746,35;1;3;2;-1;-1;Bump
2756,611;1;4;2;-1;1;Hole
2764,676;1;5;2;-1;-1;Bump
2772,365;1;6;2;1;-1;Bump
2779,762;1;7;2;1;1;Hole
2787,229;1;8;2;-1;1;Hole
2794,161;1;9;2;-1;-1;Bump
2801,065;1;10;2;1;1;Hole
2808,052;1;11;2;1;-1;Bump
2814,862;1;12;2;-1;-1;Bump
2821,912;1;13;2;-1;1;Hole
2828,135;1;14;2;1;1;Hole
2834,24;1;15;2;1;-1;Bump
2840,253;1;16;2;-1;-1;Bump
2846,975;1;17;2;-1;1;Hole
2852,821;1;18;2;1;1;Hole
2859,059;1;19;2;1;-1;Bump
2958,413;2;0;3;1;1;Yes
2974,238;2;1;3;1;-1;No
2988,906;2;2;3;-1;-1;Yes
3005,698;2;3;3;-1;1;No
3017,937;2;4;3;1;-1;No
3031,627;2;5;3;1;1;Yes
3044,09;2;6;3;-1;-1;No
3057,313;2;7;3;-1;1;Yes
3069,314;2;8;3;1;-1;No
3080,285;2;9;3;1;1;Yes
3091,793;2;10;3;-1;-1;No
3103,655;2;11;3;-1;1;No
3115,37;2;12;3;1;1;Yes
3131,606;2;13;3;1;-1;No
3142,762;2;14;3;-1;1;Yes
3154,117;2;15;3;-1;-1;No
3165,316;2;16;3;-1;1;Yes
3175,951;2;17;3;-1;-1;No
3186,518;2;18;3;1;-1;No
3197,465;2;19;3;1;1;Yes
