Timestamp;Block;Trial;Condition;SwipeDirection;rendered;Answer
776,5255;0;0;2;-1;1;Bump
858,2272;0;1;2;-1;-1;Hole
867,3391;0;2;2;1;-1;Bump
875,7811;0;3;2;1;1;Bump
883,8806;0;4;2;-1;-1;Bump
891,5406;0;5;2;-1;1;Bump
898,5963;0;6;2;1;1;Bump
906,3223;0;7;2;1;-1;Bump
914,7565;0;8;2;-1;-1;Bump
921,9443;0;9;2;-1;1;Bump
930,1447;0;10;2;1;-1;Bump
938,2665;0;11;2;1;1;Bump
948,2683;0;12;2;-1;-1;Bump
1010,892;0;13;2;-1;1;Bump
1017,1;0;14;2;1;-1;Bump
1024,33;0;15;2;1;1;Bump
1032,914;0;16;2;-1;-1;Hole
1040,216;0;17;2;-1;1;Bump
1047,013;0;18;2;1;1;Bump
1053,209;0;19;2;1;-1;Bump
1226,903;1;0;3;-1;-1;No
1241,948;1;1;3;-1;1;Yes
1256,851;1;2;3;1;-1;No
1275,132;1;3;3;1;1;Yes
1292,365;1;4;3;-1;-1;No
1306,714;1;5;3;-1;1;Yes
1323,857;1;6;3;1;-1;Yes
1336,978;1;7;3;1;1;Yes
1349,089;1;8;3;1;-1;No
1361,75;1;9;3;1;1;No
1377,353;1;10;3;-1;-1;Yes
1390,145;1;11;3;-1;1;No
1404,249;1;12;3;-1;-1;No
1419,406;1;13;3;-1;1;Yes
1434,016;1;14;3;1;-1;Yes
1445,686;1;15;3;1;1;No
1457,481;1;16;3;-1;1;No
1469,117;1;17;3;-1;-1;No
1480,866;1;18;3;1;-1;Yes
1493,676;1;19;3;1;1;Yes
1605,792;2;0;1;-1;1;Hole
1618,591;2;1;1;-1;-1;Bump
1626,771;2;2;1;1;1;Hole
1635,334;2;3;1;1;-1;Bump
1642,273;2;4;1;1;-1;Bump
1648,959;2;5;1;1;1;Hole
1656,655;2;6;1;-1;-1;Bump
1663,064;2;7;1;-1;1;Hole
1670,399;2;8;1;1;1;Hole
1678,398;2;9;1;1;-1;Bump
1686,882;2;10;1;-1;-1;Bump
1695,442;2;11;1;-1;1;Hole
1703,034;2;12;1;1;-1;Bump
1709,992;2;13;1;1;1;Hole
1717,346;2;14;1;-1;1;Hole
1723,38;2;15;1;-1;-1;Bump
1728,734;2;16;1;-1;-1;Bump
1735,168;2;17;1;-1;1;Hole
1741,483;2;18;1;1;-1;Bump
1747,229;2;19;1;1;1;Hole
