Timestamp;Block;Trial;Condition;SwipeDirection;rendered;Answer
190,4082;0;0;3;-1;1;Yes
217,4721;0;1;3;-1;-1;Yes
250,4155;0;2;3;1;-1;Yes
263,8049;0;3;3;1;1;Yes
279,6079;0;4;3;-1;1;Yes
292,8293;0;5;3;-1;-1;No
309,8988;0;6;3;1;-1;No
324,2432;0;7;3;1;1;Yes
339,3416;0;8;3;1;-1;Yes
353,1806;0;9;3;1;1;No
370,8429;0;10;3;-1;1;Yes
382,6037;0;11;3;-1;-1;No
393,3778;0;12;3;1;1;No
405,9121;0;13;3;1;-1;Yes
415,287;0;14;3;-1;-1;No
424,9291;0;15;3;-1;1;Yes
433,9442;0;16;3;1;1;Yes
445,3987;0;17;3;1;-1;Yes
454,7607;0;18;3;-1;-1;No
463,3652;0;19;3;-1;1;Yes
622,2185;1;0;1;-1;-1;Bump
628,3235;1;1;1;-1;1;Hole
636,8445;1;2;1;1;1;Hole
644,9335;1;3;1;1;-1;Bump
650,0303;1;4;1;1;-1;Bump
655,2325;1;5;1;1;1;Hole
660,2156;1;6;1;-1;-1;Bump
664,9109;1;7;1;-1;1;Hole
671,9815;1;8;1;1;1;Hole
677,7897;1;9;1;1;-1;Bump
682,0405;1;10;1;-1;-1;Bump
686,6274;1;11;1;-1;1;Hole
691,6357;1;12;1;1;-1;Bump
696,3142;1;13;1;1;1;Hole
700,7351;1;14;1;-1;1;Hole
705,426;1;15;1;-1;-1;Bump
709,5422;1;16;1;-1;-1;Bump
713,6885;1;17;1;-1;1;Hole
720,732;1;18;1;1;-1;Bump
725,4565;1;19;1;1;1;Hole
789,355;2;0;2;-1;1;Hole
794,0789;2;1;2;-1;-1;Bump
798,8651;2;2;2;1;-1;Bump
803,548;2;3;2;1;1;Hole
808,2378;2;4;2;1;1;Bump
813,1986;2;5;2;1;-1;Bump
817,673;2;6;2;-1;1;Hole
823,6378;2;7;2;-1;-1;Bump
828,3388;2;8;2;-1;1;Hole
833,7959;2;9;2;-1;-1;Bump
838,5421;2;10;2;1;1;Hole
843,4465;2;11;2;1;-1;Bump
848,1247;2;12;2;-1;1;Hole
851,904;2;13;2;-1;-1;Bump
857,34;2;14;2;1;-1;Bump
862,0153;2;15;2;1;1;Hole
866,48;2;16;2;1;1;Bump
870,6848;2;17;2;1;-1;Bump
875,6526;2;18;2;-1;1;Hole
880,0394;2;19;2;-1;-1;Hole
