Timestamp;Block;Trial;Condition;SwipeDirection;rendered;Answer
49,39816;0;0;2;1;-1;Bump
58,68987;0;1;2;1;1;Hole
70,85532;0;2;2;-1;1;Hole
79,42686;0;3;2;-1;-1;Bump
88,94491;0;4;2;-1;-1;Bump
97,56106;0;5;2;-1;1;Hole
106,8519;0;6;2;1;-1;Bump
114,7198;0;7;2;1;1;Hole
121,7167;0;8;2;-1;1;Hole
129,7857;0;9;2;-1;-1;Bump
138,2891;0;10;2;1;1;Bump
145,9281;0;11;2;1;-1;Bump
153,2968;0;12;2;-1;1;Hole
160,8243;0;13;2;-1;-1;Bump
169,2574;0;14;2;1;-1;Bump
179,4375;0;15;2;1;1;Bump
189,0251;0;16;2;-1;-1;Bump
198,515;0;17;2;-1;1;Hole
207,4277;0;18;2;1;-1;Bump
214,3854;0;19;2;1;1;Hole
453,9926;1;0;3;-1;-1;No
479,8124;1;1;3;-1;1;Yes
496,9627;1;2;3;1;1;Yes
515,4735;1;3;3;1;-1;Yes
538,1965;1;4;3;1;-1;Yes
554,8091;1;5;3;1;1;No
568,3267;1;6;3;-1;-1;No
584,2855;1;7;3;-1;1;Yes
609,3613;1;8;3;-1;1;Yes
628,7737;1;9;3;-1;-1;Yes
644,4174;1;10;3;1;1;No
669,949;1;11;3;1;-1;Yes
693,7801;1;12;3;-1;1;Yes
719,3685;1;13;3;-1;-1;Yes
733,0526;1;14;3;1;-1;No
748,574;1;15;3;1;1;Yes
787,4471;1;16;3;-1;1;Yes
800,8801;1;17;3;-1;-1;No
822,8927;1;18;3;1;1;Yes
864,2;1;19;3;1;-1;No
1066,354;2;0;1;-1;1;Hole
1076,612;2;1;1;-1;-1;Bump
1094,762;2;2;1;1;-1;Bump
1109,791;2;3;1;1;1;Hole
1127,816;2;4;1;1;-1;Bump
1145,957;2;5;1;1;1;Hole
1168,58;2;6;1;-1;1;Hole
1177,718;2;7;1;-1;-1;Bump
1191,398;2;8;1;1;-1;Bump
1201,547;2;9;1;1;1;Hole
1216,835;2;10;1;-1;1;Hole
1228,348;2;11;1;-1;-1;Bump
1237,537;2;12;1;-1;-1;Bump
1248,556;2;13;1;-1;1;Hole
1257,521;2;14;1;1;1;Hole
1265,579;2;15;1;1;-1;Bump
1278,956;2;16;1;1;1;Hole
1288,782;2;17;1;1;-1;Bump
1306,177;2;18;1;-1;-1;Bump
1317,7;2;19;1;-1;1;Hole
