Timestamp;Block;Trial;Condition;SwipeDirection;rendered;Answer
216,6398;0;0;2;1;1;Hole
248,8611;0;1;2;1;-1;Bump
269,3368;0;2;2;-1;1;Hole
278,5359;0;3;2;-1;-1;Bump
288,3355;0;4;2;-1;1;Hole
298,8308;0;5;2;-1;-1;Hole
315,6707;0;6;2;1;-1;Bump
336,8067;0;7;2;1;1;Hole
358,1613;0;8;2;-1;-1;Bump
371,1209;0;9;2;-1;1;Bump
385,0379;0;10;2;1;1;Hole
399,2355;0;11;2;1;-1;Bump
412,5221;0;12;2;-1;1;Hole
421,1241;0;13;2;-1;-1;Bump
430,2581;0;14;2;1;-1;Bump
438,852;0;15;2;1;1;Hole
447,3427;0;16;2;1;1;Hole
458,2833;0;17;2;1;-1;Bump
472,7654;0;18;2;-1;-1;Bump
488,548;0;19;2;-1;1;Bump
690,9087;1;0;3;-1;1;Yes
709,6188;1;1;3;-1;-1;No
737,1871;1;2;3;1;1;Yes
760,4803;1;3;3;1;-1;No
776,9291;1;4;3;1;1;Yes
795,8377;1;5;3;1;-1;Yes
815,4047;1;6;3;-1;1;No
831,4592;1;7;3;-1;-1;Yes
847,0382;1;8;3;1;-1;No
876,0719;1;9;3;1;1;Yes
889,3871;1;10;3;-1;-1;No
903,5391;1;11;3;-1;1;Yes
916,6719;1;12;3;1;-1;No
929,0437;1;13;3;1;1;Yes
944,3579;1;14;3;-1;-1;No
955,1263;1;15;3;-1;1;Yes
966,4256;1;16;3;-1;1;Yes
977,2111;1;17;3;-1;-1;No
1021,334;1;18;3;1;1;Yes
1043,177;1;19;3;1;-1;No
1136,019;2;0;1;1;-1;Hole
1143,833;2;1;1;1;1;Hole
1151,843;2;2;1;-1;-1;Bump
1159,802;2;3;1;-1;1;Hole
1166,382;2;4;1;-1;-1;Bump
1172,163;2;5;1;-1;1;Hole
1181,457;2;6;1;1;-1;Bump
1187,338;2;7;1;1;1;Hole
1192,865;2;8;1;-1;-1;Bump
1198,269;2;9;1;-1;1;Hole
1203,251;2;10;1;1;1;Hole
1207,855;2;11;1;1;-1;Bump
1212,715;2;12;1;-1;1;Hole
1217,566;2;13;1;-1;-1;Bump
1222,851;2;14;1;1;1;Hole
1227,37;2;15;1;1;-1;Bump
1232,772;2;16;1;-1;-1;Bump
1237,589;2;17;1;-1;1;Hole
1242,29;2;18;1;1;1;Hole
1247,023;2;19;1;1;-1;Bump
