Timestamp;Block;Trial;Condition;SwipeDirection;rendered;Answer
220,5694;0;0;2;1;1;Hole
241,5533;0;1;2;1;-1;Hole
253,713;0;2;2;-1;-1;Bump
263,5083;0;3;2;-1;1;Hole
270,979;0;4;2;-1;1;Hole
279,0195;0;5;2;-1;-1;Bump
293,1513;0;6;2;1;1;Hole
303,7415;0;7;2;1;-1;Bump
311,8117;0;8;2;1;1;Hole
319,7408;0;9;2;1;-1;Bump
327,6606;0;10;2;-1;1;Hole
335,8339;0;11;2;-1;-1;Bump
343,3614;0;12;2;-1;-1;Bump
350,8952;0;13;2;-1;1;Bump
362,6609;0;14;2;1;1;Hole
379,827;0;15;2;1;-1;Bump
386,916;0;16;2;-1;-1;Bump
394,7665;0;17;2;-1;1;Hole
401,2773;0;18;2;1;1;Hole
408,6744;0;19;2;1;-1;Bump
663,0999;1;0;3;-1;1;Yes
681,0571;1;1;3;-1;-1;No
698,8757;1;2;3;1;-1;No
715,5786;1;3;3;1;1;Yes
729,5149;1;4;3;-1;-1;Yes
741,6313;1;5;3;-1;1;Yes
759,3376;1;6;3;1;1;No
774,9173;1;7;3;1;-1;No
788,4078;1;8;3;-1;1;Yes
801,4055;1;9;3;-1;-1;No
814,3096;1;10;3;1;1;Yes
837,199;1;11;3;1;-1;No
850,8217;1;12;3;1;1;No
869,1948;1;13;3;1;-1;No
883,8325;1;14;3;-1;1;Yes
904,2148;1;15;3;-1;-1;No
916,472;1;16;3;-1;1;No
929,8188;1;17;3;-1;-1;Yes
948,8293;1;18;3;1;-1;No
963,7222;1;19;3;1;1;Yes
1211,972;2;0;1;-1;-1;Bump
1223,239;2;1;1;-1;1;Hole
1236,092;2;2;1;1;-1;Bump
1244,492;2;3;1;1;1;Hole
1252,566;2;4;1;-1;1;Hole
1259,975;2;5;1;-1;-1;Bump
1269,288;2;6;1;1;-1;Bump
1275,832;2;7;1;1;1;Hole
1282,158;2;8;1;-1;-1;Bump
1287,156;2;9;1;-1;1;Hole
1292,711;2;10;1;1;1;Bump
1298,292;2;11;1;1;-1;Bump
1303,693;2;12;1;1;1;Bump
1309,209;2;13;1;1;-1;Bump
1314,992;2;14;1;-1;-1;Bump
1320,409;2;15;1;-1;1;Hole
1325,601;2;16;1;1;-1;Bump
1330,503;2;17;1;1;1;Hole
1336,174;2;18;1;-1;-1;Bump
1341,868;2;19;1;-1;1;Hole
