Timestamp;Block;Trial;Condition;SwipeDirection;rendered;Answer
310,498;0;0;1;-1;1;Bump
325,5037;0;1;1;-1;-1;Hole
337,5147;0;2;1;1;-1;Hole
350,619;0;3;1;1;1;Bump
365,725;0;4;1;-1;-1;Hole
379,9044;0;5;1;-1;1;Bump
389,9639;0;6;1;1;1;Hole
398,7725;0;7;1;1;-1;Bump
410,8506;0;8;1;-1;1;Hole
423,6381;0;9;1;-1;-1;Hole
435,8668;0;10;1;1;1;Bump
444,7682;0;11;1;1;-1;Hole
456,8442;0;12;1;1;-1;Bump
469,2767;0;13;1;1;1;Hole
481,2322;0;14;1;-1;-1;Hole
500,9378;0;15;1;-1;1;Bump
510,8589;0;16;1;-1;1;Bump
520,4421;0;17;1;-1;-1;Hole
532,0906;0;18;1;1;1;Hole
547,824;0;19;1;1;-1;Bump
759,2486;1;0;2;-1;-1;Bump
770,5135;1;1;2;-1;1;Hole
794,7431;1;2;2;1;-1;Hole
805,9388;1;3;2;1;1;Bump
815,1483;1;4;2;-1;1;Hole
832,0098;1;5;2;-1;-1;Bump
840,7319;1;6;2;1;1;Hole
849,0106;1;7;2;1;-1;Bump
859,4529;1;8;2;1;-1;Bump
871,4309;1;9;2;1;1;Bump
879,6777;1;10;2;-1;-1;Hole
891,8685;1;11;2;-1;1;Bump
901,8005;1;12;2;-1;-1;Hole
919,5921;1;13;2;-1;1;Hole
929,5995;1;14;2;1;-1;Hole
939,4164;1;15;2;1;1;Hole
955,9833;1;16;2;1;1;Bump
969,8069;1;17;2;1;-1;Bump
979,756;1;18;2;-1;-1;Bump
988,4064;1;19;2;-1;1;Hole
1097,154;2;0;3;-1;-1;No
1115,788;2;1;3;-1;1;No
1152,637;2;2;3;1;1;Yes
1175,703;2;3;3;1;-1;No
1199,365;2;4;3;1;1;No
1216,047;2;5;3;1;-1;No
1238,584;2;6;3;-1;1;Yes
1255,301;2;7;3;-1;-1;Yes
1273,187;2;8;3;1;-1;No
1289,528;2;9;3;1;1;No
1306,166;2;10;3;-1;1;No
1340,141;2;11;3;-1;-1;No
1363,692;2;12;3;1;1;Yes
1379,457;2;13;3;1;-1;Yes
1397,707;2;14;3;-1;-1;No
1414,634;2;15;3;-1;1;No
1433,191;2;16;3;1;-1;Yes
1451,69;2;17;3;1;1;No
1471,161;2;18;3;-1;-1;No
1488,225;2;19;3;-1;1;No
