Timestamp;Block;Trial;Condition;SwipeDirection;rendered;Answer
243,1042;0;0;3;1;1;No
263,0497;0;1;3;1;-1;Yes
275,7173;0;2;3;-1;1;Yes
290,4245;0;3;3;-1;-1;No
303,1358;0;4;3;-1;-1;No
312,5746;0;5;3;-1;1;No
322,0813;0;6;3;1;1;No
331,3188;0;7;3;1;-1;Yes
342,7813;0;8;3;-1;-1;No
353,08;0;9;3;-1;1;No
364,1945;0;10;3;1;1;No
373,56;0;11;3;1;-1;No
382,9274;0;12;3;-1;1;No
391,2483;0;13;3;-1;-1;No
399,7708;0;14;3;1;1;No
408,3092;0;15;3;1;-1;No
416,088;0;16;3;1;1;No
424,1154;0;17;3;1;-1;Yes
433,8589;0;18;3;-1;-1;No
443,0959;0;19;3;-1;1;No
647,1826;1;0;1;-1;1;Bump
652,4962;1;1;1;-1;-1;Bump
657,6316;1;2;1;1;1;Hole
662,403;1;3;1;1;-1;Bump
668,0191;1;4;1;-1;1;Hole
674,0835;1;5;1;-1;-1;Bump
679,8214;1;6;1;1;1;Hole
684,8251;1;7;1;1;-1;Bump
689,7254;1;8;1;-1;-1;Bump
694,3586;1;9;1;-1;1;Hole
699,2511;1;10;1;1;-1;Bump
704,0067;1;11;1;1;1;Hole
708,8394;1;12;1;-1;-1;Bump
714,1633;1;13;1;-1;1;Hole
719,1113;1;14;1;1;1;Hole
724,0079;1;15;1;1;-1;Bump
728,7329;1;16;1;-1;1;Hole
733,762;1;17;1;-1;-1;Bump
739,1329;1;18;1;1;-1;Bump
744,2576;1;19;1;1;1;Hole
880,5321;2;0;2;1;1;Hole
885,8362;2;1;2;1;-1;Bump
890,876;2;2;2;-1;-1;Bump
895,9031;2;3;2;-1;1;Hole
900,3642;2;4;2;-1;-1;Bump
905,3391;2;5;2;-1;1;Hole
910,5457;2;6;2;1;-1;Bump
915,2415;2;7;2;1;1;Hole
919,6843;2;8;2;-1;1;Hole
924,623;2;9;2;-1;-1;Bump
929,2265;2;10;2;1;-1;Bump
933,877;2;11;2;1;1;Hole
938,5835;2;12;2;1;-1;Bump
943,9651;2;13;2;1;1;Hole
948,5662;2;14;2;-1;-1;Bump
953,4764;2;15;2;-1;1;Bump
958,2623;2;16;2;1;1;Hole
963,0328;2;17;2;1;-1;Bump
968,3474;2;18;2;-1;1;Bump
972,7919;2;19;2;-1;-1;Bump
