Timestamp;Block;Trial;Condition;SwipeDirection;rendered;Answer
200,8111;0;0;3;1;-1;Yes
221,2143;0;1;3;1;1;Yes
238,7773;0;2;3;-1;1;Yes
250,4459;0;3;3;-1;-1;No
259,9568;0;4;3;1;-1;Yes
269,7925;0;5;3;1;1;Yes
278,7062;0;6;3;-1;1;No
287,0912;0;7;3;-1;-1;Yes
295,7826;0;8;3;-1;1;No
303,8813;0;9;3;-1;-1;No
313,0148;0;10;3;1;-1;Yes
324,391;0;11;3;1;1;Yes
336,9658;0;12;3;1;1;No
348,0558;0;13;3;1;-1;Yes
356,8039;0;14;3;-1;-1;Yes
365,9781;0;15;3;-1;1;Yes
376,315;0;16;3;-1;1;Yes
386,7044;0;17;3;-1;-1;No
396,0183;0;18;3;1;1;Yes
411,756;0;19;3;1;-1;Yes
426,7361;1;0;1;1;1;Bump
435,4214;1;1;1;1;-1;Bump
441,2035;1;2;1;-1;1;Hole
455,0439;1;3;1;-1;-1;Bump
461,3837;1;4;1;1;1;Hole
466,3601;1;5;1;1;-1;Bump
474,2147;1;6;1;-1;1;Bump
478,8591;1;7;1;-1;-1;Bump
483,5512;1;8;1;-1;1;Hole
487,7435;1;9;1;-1;-1;Bump
492,0582;1;10;1;1;1;Bump
496,3289;1;11;1;1;-1;Bump
500,4086;1;12;1;1;-1;Bump
504,6236;1;13;1;1;1;Bump
513,3429;1;14;1;-1;1;Hole
517,8548;1;15;1;-1;-1;Bump
522,3802;1;16;1;1;1;Hole
527,1759;1;17;1;1;-1;Bump
535,032;1;18;1;-1;1;Hole
539,5726;1;19;1;-1;-1;Bump
788,3614;2;0;2;1;1;Bump
794,837;2;1;2;1;-1;Bump
800,1119;2;2;2;-1;-1;Bump
805,8518;2;3;2;-1;1;Hole
810,9793;2;4;2;1;1;Hole
816,8027;2;5;2;1;-1;Bump
826,7203;2;6;2;-1;-1;Bump
831,67;2;7;2;-1;1;Hole
839,4506;2;8;2;-1;1;Bump
844,4626;2;9;2;-1;-1;Bump
849,3946;2;10;2;1;-1;Bump
854,5303;2;11;2;1;1;Hole
859,3691;2;12;2;1;-1;Bump
867,5953;2;13;2;1;1;Bump
878,64;2;14;2;-1;-1;Bump
883,8439;2;15;2;-1;1;Hole
891,5414;2;16;2;-1;1;Bump
896,1429;2;17;2;-1;-1;Bump
901,1133;2;18;2;1;1;Hole
906,2662;2;19;2;1;-1;Bump
