Timestamp;Block;Trial;Condition;SwipeDirection;rendered;Answer
672,7817;0;0;3;-1;-1;Yes
718,1289;0;1;3;-1;1;No
741,936;0;2;3;1;1;No
764,8314;0;3;3;1;-1;No
785,8962;0;4;3;-1;-1;No
800,1625;0;5;3;-1;1;No
825,9883;0;6;3;1;-1;No
840,1064;0;7;3;1;1;Yes
855,563;0;8;3;1;-1;Yes
868,7121;0;9;3;1;1;Yes
885,7919;0;10;3;-1;-1;No
899,8414;0;11;3;-1;1;No
913,829;0;12;3;-1;-1;No
924,1672;0;13;3;-1;1;No
943,8787;0;14;3;1;1;No
958,0336;0;15;3;1;-1;No
968,9468;0;16;3;-1;1;No
981,1434;0;17;3;-1;-1;Yes
999,6849;0;18;3;1;-1;Yes
1015,386;0;19;3;1;1;Yes
1189,175;1;0;1;1;1;Bump
1208,776;1;1;1;1;-1;Hole
1219,306;1;2;1;-1;-1;Hole
1228,781;1;3;1;-1;1;Hole
1240,526;1;4;1;-1;-1;Bump
1248,413;1;5;1;-1;1;Hole
1264,052;1;6;1;1;1;Bump
1272,018;1;7;1;1;-1;Bump
1279,965;1;8;1;1;-1;Hole
1288,731;1;9;1;1;1;Hole
1294,527;1;10;1;-1;-1;Bump
1299,826;1;11;1;-1;1;Hole
1305,261;1;12;1;-1;1;Hole
1311,686;1;13;1;-1;-1;Hole
1319,125;1;14;1;1;1;Hole
1324,588;1;15;1;1;-1;Hole
1334,703;1;16;1;-1;1;Hole
1341,29;1;17;1;-1;-1;Hole
1349,815;1;18;1;1;1;Bump
1355,564;1;19;1;1;-1;Hole
1471,837;2;0;2;1;1;Hole
1479,314;2;1;2;1;-1;Hole
1484,725;2;2;2;-1;-1;Bump
1491,225;2;3;2;-1;1;Bump
1500,496;2;4;2;1;-1;Hole
1509,559;2;5;2;1;1;Hole
1517,83;2;6;2;-1;1;Bump
1532,315;2;7;2;-1;-1;Bump
1542,355;2;8;2;1;1;Hole
1548,864;2;9;2;1;-1;Hole
1555,633;2;10;2;-1;-1;Bump
1563,074;2;11;2;-1;1;Hole
1568,134;2;12;2;-1;1;Hole
1573,221;2;13;2;-1;-1;Bump
1580,822;2;14;2;1;-1;Hole
1586,197;2;15;2;1;1;Bump
1592,792;2;16;2;-1;1;Hole
1597,242;2;17;2;-1;-1;Bump
1602,898;2;18;2;1;-1;Hole
1610,086;2;19;2;1;1;Bump
