Timestamp;Block;Trial;Condition;SwipeDirection;rendered;Answer
295,0045;0;0;1;-1;1;Bump
307,0177;0;1;1;-1;-1;Hole
322,8186;0;2;1;1;-1;Hole
332,9696;0;3;1;1;1;Hole
342,5336;0;4;1;-1;-1;Bump
351,0721;0;5;1;-1;1;Hole
360,6607;0;6;1;1;1;Hole
368,0687;0;7;1;1;-1;Bump
379,9366;0;8;1;-1;-1;Hole
386,7559;0;9;1;-1;1;Bump
393,454;0;10;1;1;1;Hole
399,1033;0;11;1;1;-1;Bump
404,9908;0;12;1;-1;1;Hole
411,3319;0;13;1;-1;-1;Bump
417,4406;0;14;1;1;-1;Bump
425,1052;0;15;1;1;1;Bump
432,1211;0;16;1;1;-1;Hole
437,259;0;17;1;1;1;Hole
444,6518;0;18;1;-1;-1;Hole
452,8454;0;19;1;-1;1;Bump
539,895;1;0;2;-1;-1;Bump
550,368;1;1;2;-1;1;Bump
557,1926;1;2;2;1;1;Hole
566,334;1;3;2;1;-1;Hole
574,4199;1;4;2;1;-1;Bump
581,2603;1;5;2;1;1;Bump
589,005;1;6;2;-1;1;Hole
597,0044;1;7;2;-1;-1;Hole
603,9086;1;8;2;1;-1;Bump
611,7087;1;9;2;1;1;Hole
619,6885;1;10;2;-1;-1;Hole
627,2082;1;11;2;-1;1;Hole
634,5446;1;12;2;1;-1;Bump
642,1176;1;13;2;1;1;Hole
650,9377;1;14;2;-1;1;Hole
657,2899;1;15;2;-1;-1;Bump
665,2576;1;16;2;-1;1;Bump
672,1668;1;17;2;-1;-1;Bump
678,4927;1;18;2;1;-1;Bump
684,6924;1;19;2;1;1;Hole
777,5701;2;0;3;-1;1;Yes
793,8814;2;1;3;-1;-1;No
805,9692;2;2;3;1;1;Yes
820,9045;2;3;3;1;-1;Yes
833,3402;2;4;3;-1;-1;No
846,2088;2;5;3;-1;1;Yes
861,4925;2;6;3;1;-1;Yes
873,1348;2;7;3;1;1;Yes
888,1613;2;8;3;-1;-1;No
899,3325;2;9;3;-1;1;Yes
913,4749;2;10;3;1;1;Yes
926,4471;2;11;3;1;-1;No
940,5569;2;12;3;-1;-1;Yes
954,7318;2;13;3;-1;1;Yes
967,869;2;14;3;1;1;Yes
980,3501;2;15;3;1;-1;Yes
996,0628;2;16;3;-1;-1;Yes
1010,459;2;17;3;-1;1;Yes
1022,064;2;18;3;1;-1;No
1036,035;2;19;3;1;1;Yes
