Timestamp;Block;Trial;Condition;SwipeDirection;rendered;Answer
172,1653;0;0;1;1;-1;Bump
197,2941;0;1;1;1;1;Hole
206,1161;0;2;1;-1;1;Hole
211,8502;0;3;1;-1;-1;Bump
219,7484;0;4;1;1;-1;Bump
226,692;0;5;1;1;1;Hole
232,0076;0;6;1;-1;-1;Bump
237,3777;0;7;1;-1;1;Hole
242,5238;0;8;1;-1;-1;Bump
247,7446;0;9;1;-1;1;Bump
256,1704;0;10;1;1;-1;Bump
261,8318;0;11;1;1;1;Bump
267,4829;0;12;1;1;-1;Bump
272,6898;0;13;1;1;1;Hole
277,6191;0;14;1;-1;1;Hole
282,4239;0;15;1;-1;-1;Hole
287,5984;0;16;1;1;-1;Bump
292,4732;0;17;1;1;1;Bump
297,1964;0;18;1;-1;-1;Bump
301,891;0;19;1;-1;1;Hole
378,2209;1;0;2;1;1;Bump
384,7983;1;1;2;1;-1;Bump
390,4066;1;2;2;-1;-1;Bump
397,1025;1;3;2;-1;1;Bump
407,93;1;4;2;1;1;Bump
416,2904;1;5;2;1;-1;Bump
422,9601;1;6;2;-1;1;Hole
429,4481;1;7;2;-1;-1;Hole
435,3613;1;8;2;-1;-1;Bump
441,4549;1;9;2;-1;1;Hole
447,5787;1;10;2;1;-1;Bump
453,919;1;11;2;1;1;Bump
460,2591;1;12;2;1;1;Hole
466,2127;1;13;2;1;-1;Hole
471,9056;1;14;2;-1;-1;Bump
478,7721;1;15;2;-1;1;Hole
485,4188;1;16;2;1;1;Hole
492,5361;1;17;2;1;-1;Bump
499,5567;1;18;2;-1;1;Hole
506,7495;1;19;2;-1;-1;Bump
601,3024;2;0;3;-1;-1;No
616,0657;2;1;3;-1;1;No
631,0228;2;2;3;1;-1;Yes
644,015;2;3;3;1;1;Yes
657,5704;2;4;3;-1;1;No
670,9388;2;5;3;-1;-1;No
688,7336;2;6;3;1;1;Yes
702,6558;2;7;3;1;-1;Yes
716,4463;2;8;3;1;1;Yes
730,1525;2;9;3;1;-1;Yes
742,8347;2;10;3;-1;1;Yes
755,5876;2;11;3;-1;-1;Yes
767,7959;2;12;3;-1;1;Yes
782,468;2;13;3;-1;-1;Yes
802,9351;2;14;3;1;-1;Yes
815,6212;2;15;3;1;1;Yes
827,9388;2;16;3;-1;-1;No
840,6001;2;17;3;-1;1;Yes
857,5365;2;18;3;1;-1;No
869,8397;2;19;3;1;1;No
