Timestamp;Block;Trial;Condition;rendered;Answer
74,01879;0;0;3;-1;Yes
93,45146;0;1;3;1;Yes
107,3739;0;2;3;1;No
122,4526;0;3;3;-1;No
135,1805;0;4;3;1;Yes
150,3131;0;5;3;-1;No
164,1294;0;6;3;1;Yes
177,9824;0;7;3;-1;No
195,2989;0;8;3;-1;No
208,9605;0;9;3;1;Yes
221,3627;0;10;3;1;Yes
234,8128;0;11;3;-1;No
246,6596;0;12;3;1;Yes
257,5927;0;13;3;-1;No
269,8075;0;14;3;-1;No
281,3811;0;15;3;1;Yes
293,3806;0;16;3;-1;No
306,4853;0;17;3;1;Yes
320,308;0;18;3;1;Yes
332,9359;0;19;3;-1;No
351,5938;1;0;1;1;Hole
359,3786;1;1;1;-1;Bump
366,5305;1;2;1;-1;Bump
373,1725;1;3;1;1;Hole
379,8742;1;4;1;1;Hole
386,7591;1;5;1;-1;Hole
393,2941;1;6;1;-1;Hole
400,5516;1;7;1;1;Hole
406,6264;1;8;1;1;Hole
414,2695;1;9;1;-1;Hole
420,6652;1;10;1;1;Hole
428,7677;1;11;1;-1;Hole
435,2616;1;12;1;1;Hole
441,9456;1;13;1;-1;Bump
448,2371;1;14;1;-1;Bump
454,6603;1;15;1;1;Hole
461,333;1;16;1;1;Hole
469,2168;1;17;1;-1;Bump
477,2377;1;18;1;-1;Bump
484,7394;1;19;1;1;Hole
514,6234;2;0;2;1;Hole
522,9329;2;1;2;-1;Hole
530,0598;2;2;2;-1;Bump
537,7484;2;3;2;1;Hole
545,0342;2;4;2;1;Hole
552,9194;2;5;2;-1;Bump
560,9191;2;6;2;1;Hole
568,9134;2;7;2;-1;Bump
577,3086;2;8;2;1;Hole
584,8342;2;9;2;-1;Bump
596,7107;2;10;2;-1;Bump
615,2752;2;11;2;1;Hole
622,1155;2;12;2;1;Hole
629,4583;2;13;2;-1;Bump
636,2006;2;14;2;1;Hole
643,8215;2;15;2;-1;Bump
650,3444;2;16;2;-1;Bump
660,0052;2;17;2;1;Hole
668,0919;2;18;2;-1;Bump
676,1094;2;19;2;1;Hole
