Timestamp;Block;Trial;Condition;rendered;Answer
155,8587;0;0;1;-1;Hole
166,0776;0;1;1;1;Bump
173,7311;0;2;1;-1;Bump
181,7973;0;3;1;1;Hole
189,5643;0;4;1;1;Hole
197,0596;0;5;1;-1;Bump
204,32;0;6;1;1;Hole
210,6208;0;7;1;-1;Bump
217,5433;0;8;1;-1;Bump
224,1362;0;9;1;1;Hole
230,3954;0;10;1;1;Hole
236,317;0;11;1;-1;Bump
243,3252;0;12;1;1;Hole
249,2557;0;13;1;-1;Bump
255,5689;0;14;1;-1;Hole
261,9654;0;15;1;1;Hole
267,3593;0;16;1;-1;Bump
273,6864;0;17;1;1;Hole
280,1298;0;18;1;-1;Bump
292,9127;0;19;1;1;Hole
