Timestamp;Block;Trial;HringState;RefenceStiffnes;VariableStiffnes;VariablePiston;UserSelection;TrueStiff
91,36218;0;0;RELEASING;0,65;1,1;1;True;False
99,73756;0;1;RELEASING;0,65;0,95;0;True;True
108,4355;0;2;RELEASING;0,65;0,2;0;False;False
116,7217;0;3;RELEASING;0,65;0,35;1;True;True
125,6572;0;4;RELEASING;0,65;0,8;1;False;False
134,6398;0;5;RELEASING;0,65;0,65;0;False;False
142,3947;0;6;RELEASING;0,65;0,5;1;True;True
154,0035;1;0;RELEASING;0,65;0,2;0;False;False
161,8938;1;1;RELEASING;0,65;0,65;1;False;False
171,5554;1;2;RELEASING;0,65;0,95;0;True;True
181,0937;1;3;RELEASING;0,65;1,1;1;False;False
191,0256;1;4;RELEASING;0,65;0,5;0;False;False
199,1935;1;5;RELEASING;0,65;0,35;0;False;False
207,0594;1;6;RELEASING;0,65;0,8;1;False;False
222,1821;2;0;RELEASING;0,65;0,65;1;False;False
229,7912;2;1;RELEASING;0,65;0,8;0;False;True
238,0652;2;2;RELEASING;0,65;0,2;0;False;False
246,3088;2;3;RELEASING;0,65;1,1;1;False;False
254,6017;2;4;RELEASING;0,65;0,5;1;True;True
263,1044;2;5;RELEASING;0,65;0,95;0;True;True
273,5181;2;6;RELEASING;0,65;0,35;0;False;False
283,8981;3;0;RELEASING;0,65;0,8;1;False;False
291,9759;3;1;RELEASING;0,65;1,1;1;False;False
299,8317;3;2;RELEASING;0,65;0,65;0;True;False
308,4178;3;3;RELEASING;0,65;0,95;0;True;True
315,8613;3;4;RELEASING;0,65;0,2;1;True;True
323,0708;3;5;RELEASING;0,65;0,35;1;True;True
330,1878;3;6;RELEASING;0,65;0,5;0;False;False
340,4738;4;0;RELEASING;0,65;0,5;0;False;False
348,1326;4;1;RELEASING;0,65;0,2;1;True;True
355,5473;4;2;RELEASING;0,65;0,95;1;False;False
363,1669;4;3;RELEASING;0,65;0,65;0;False;False
371,3238;4;4;RELEASING;0,65;0,35;0;False;False
378,6555;4;5;RELEASING;0,65;1,1;1;False;False
386,5229;4;6;RELEASING;0,65;0,8;1;False;False
396,9493;5;0;ON;0,65;0,35;0;False;False
404,4305;5;1;ON;0,65;0,95;1;False;False
411,1281;5;2;ON;0,65;0,8;0;False;True
418,4904;5;3;ON;0,65;1,1;0;True;True
424,9818;5;4;ON;0,65;0,5;1;True;True
434,2603;5;5;ON;0,65;0,65;1;False;False
441,7574;5;6;ON;0,65;0,2;0;False;False
450,4465;6;0;ON;0,65;0,35;1;True;True
457,8702;6;1;ON;0,65;1,1;0;True;True
465,2346;6;2;ON;0,65;0,95;1;False;False
473,202;6;3;ON;0,65;0,65;0;True;False
480,6713;6;4;ON;0,65;0,8;0;False;True
487,2761;6;5;ON;0,65;0,2;1;True;True
494,36;6;6;ON;0,65;0,5;1;True;True
504,2298;7;0;ON;0,65;0,5;0;False;False
513,0882;7;1;ON;0,65;1,1;0;True;True
522,1354;7;2;ON;0,65;0,8;1;False;False
529,5732;7;3;ON;0,65;0,2;0;False;False
536,4255;7;4;ON;0,65;0,95;1;False;False
544,2284;7;5;ON;0,65;0,65;1;False;False
551,0111;7;6;ON;0,65;0,35;0;False;False
560,8738;8;0;ON;0,65;0,2;1;True;True
567,5775;8;1;ON;0,65;0,35;0;False;False
576,9708;8;2;ON;0,65;0,95;0;False;True
584,4126;8;3;ON;0,65;0,5;1;True;True
592,2441;8;4;ON;0,65;0,8;1;False;False
601,7479;8;5;ON;0,65;0,65;0;True;False
609,031;8;6;ON;0,65;1,1;1;False;False
617,9725;9;0;ON;0,65;0,2;0;False;False
625,5175;9;1;ON;0,65;0,35;1;True;True
633,1994;9;2;ON;0,65;0,65;0;False;False
641,3285;9;3;ON;0,65;0,5;1;False;True
648,8012;9;4;ON;0,65;0,95;0;True;True
656,2766;9;5;ON;0,65;0,8;1;False;False
664,0684;9;6;ON;0,65;1,1;0;True;True
