Timestamp;Block;Trial;HringState;RefenceStiffnes;VariableStiffnes;VariablePiston;UserSelection;TrueStiff
118,6872;0;0;RELEASING;0,65;0,725;1;True;False
134,7508;0;1;RELEASING;0,65;0,575;0;True;False
150,7016;0;2;RELEASING;0,65;0,35;1;False;True
164,0084;0;3;RELEASING;0,65;0,65;0;True;False
177,476;0;4;RELEASING;0,65;0,5;1;True;True
195,6136;0;5;RELEASING;0,65;0,8;0;False;True
211,6701;0;6;RELEASING;0,65;0,95;0;True;True
233,4397;1;0;RELEASING;0,65;0,575;1;False;True
259,75;1;1;RELEASING;0,65;0,8;0;False;True
273,7985;1;2;RELEASING;0,65;0,95;1;True;False
289,7148;1;3;RELEASING;0,65;0,5;1;True;True
301,7071;1;4;RELEASING;0,65;0,35;0;False;False
317,0753;1;5;RELEASING;0,65;0,725;0;True;True
330,19;1;6;RELEASING;0,65;0,65;1;False;False
464,7365;2;0;RELEASING;0,65;0,65;0;True;False
474,7218;2;1;RELEASING;0,65;0,35;1;True;True
484,1632;2;2;RELEASING;0,65;0,5;1;True;True
494,6376;2;3;RELEASING;0,65;0,95;0;True;True
504,3947;2;4;RELEASING;0,65;0,8;0;True;True
514,0449;2;5;RELEASING;0,65;0,725;1;False;False
523,8478;2;6;RELEASING;0,65;0,575;0;False;False
535,2343;3;0;RELEASING;0,65;0,95;1;False;False
544,8651;3;1;RELEASING;0,65;0,8;1;False;False
553,421;3;2;RELEASING;0,65;0,65;0;False;False
561,8689;3;3;RELEASING;0,65;0,575;0;False;False
570,6086;3;4;RELEASING;0,65;0,725;1;True;False
579,1248;3;5;RELEASING;0,65;0,35;1;True;True
587,7805;3;6;RELEASING;0,65;0,5;0;False;False
600,4534;4;0;RELEASING;0,65;0,65;0;False;False
610,4091;4;1;RELEASING;0,65;0,95;1;False;False
621,2733;4;2;RELEASING;0,65;0,35;1;True;True
632,7943;4;3;RELEASING;0,65;0,8;0;True;True
642,8738;4;4;RELEASING;0,65;0,725;1;True;False
651,3722;4;5;RELEASING;0,65;0,5;0;False;False
661,662;4;6;RELEASING;0,65;0,575;1;True;True
673,7903;5;0;ON;0,65;0,65;0;True;False
684,1981;5;1;ON;0,65;0,5;1;True;True
693,842;5;2;ON;0,65;0,95;0;True;True
703,9528;5;3;ON;0,65;0,35;1;True;True
713,9012;5;4;ON;0,65;0,575;0;False;False
724,2705;5;5;ON;0,65;0,725;1;True;False
736,2121;5;6;ON;0,65;0,8;0;False;True
751,1974;6;0;ON;0,65;0,65;0;False;False
760,9673;6;1;ON;0,65;0,35;1;True;True
769,7717;6;2;ON;0,65;0,95;1;False;False
779,8214;6;3;ON;0,65;0,725;0;True;True
788,3132;6;4;ON;0,65;0,8;0;False;True
799,9952;6;5;ON;0,65;0,5;1;True;True
808,695;6;6;ON;0,65;0,575;1;True;True
819,4352;7;0;ON;0,65;0,725;0;False;True
828,7491;7;1;ON;0,65;0,65;1;False;False
839,5474;7;2;ON;0,65;0,35;0;False;False
853,725;7;3;ON;0,65;0,95;0;True;True
862,0768;7;4;ON;0,65;0,5;1;True;True
871,8769;7;5;ON;0,65;0,575;0;True;False
880,8529;7;6;ON;0,65;0,8;1;False;False
894,152;8;0;ON;0,65;0,35;0;False;False
904,7245;8;1;ON;0,65;0,65;1;False;False
914,6154;8;2;ON;0,65;0,5;0;True;False
926,7872;8;3;ON;0,65;0,8;1;True;False
936,4489;8;4;ON;0,65;0,575;0;True;False
946,7822;8;5;ON;0,65;0,725;1;False;False
960,0893;8;6;ON;0,65;0,95;0;False;True
973,5839;9;0;ON;0,65;0,8;1;False;False
981,5193;9;1;ON;0,65;0,725;1;False;False
991,4371;9;2;ON;0,65;0,5;0;True;False
999,2136;9;3;ON;0,65;0,575;1;True;True
1006,951;9;4;ON;0,65;0,65;0;False;False
1014,532;9;5;ON;0,65;0,95;0;True;True
1022,547;9;6;ON;0,65;0,35;1;True;True
